"customer_id","customer_name","segment","region","city","state","signup_date"
"CUST-0001","Allison Hill","Corporate","West","East Jill","Utah","2025-03-19"
"CUST-0002","Leslie Johnson","Consumer","West","East Jessetown","Oklahoma","2023-04-27"
"CUST-0003","Kimberly Robinson","Corporate","Central","Lisatown","Wisconsin","2025-06-10"
"CUST-0004","Gina Moore","Home Office","West","Curtisfurt","Connecticut","2023-11-17"
"CUST-0005","Dennis Williams","Consumer","West","Herrerafurt","Colorado","2024-07-21"
"CUST-0006","Lisa Hensley","Consumer","East","Lake Chad","Texas","2023-06-03"
"CUST-0007","Bobby Hall","Consumer","West","South Joshuastad","Hawaii","2023-12-02"
"CUST-0008","Derek Zuniga","Corporate","East","New Cynthiaside","Washington","2023-06-24"
"CUST-0009","Devin Schaefer","Consumer","Central","Lake Mark","Wyoming","2025-05-03"
"CUST-0010","Andrew Stewart","Corporate","West","Carlshire","Virginia","2023-09-22"
"CUST-0011","Jennifer Rocha","Corporate","Central","Thomasberg","Kansas","2025-03-25"
"CUST-0012","Nicole Patterson","Consumer","West","Coxberg","North Carolina","2024-05-07"
"CUST-0013","Shannon Hernandez","Home Office","East","Port Erin","Rhode Island","2022-11-05"
"CUST-0014","Zachary Rice","Consumer","West","Lake Jenniferside","Wisconsin","2023-07-23"
"CUST-0015","Ashley Graham","Corporate","Central","Smithview","North Carolina","2025-04-15"
"CUST-0016","Ashley Garrett","Corporate","Central","East Nathaniel","Hawaii","2024-07-05"
"CUST-0017","Kerry Smith","Consumer","South","Tracyville","Mississippi","2025-09-12"
"CUST-0018","Elizabeth Brown","Consumer","East","North Jessicaland","Wisconsin","2024-06-26"
"CUST-0019","Matthew Arroyo","Corporate","Central","West Allison","Rhode Island","2024-02-07"
"CUST-0020","Joshua Blair","Home Office","East","Lake Larry","Texas","2024-11-23"
"CUST-0021","Joseph Martinez","Corporate","West","North Matthew","Pennsylvania","2024-07-23"
"CUST-0022","Adrienne Zimmerman","Consumer","West","East Carloston","Michigan","2022-11-14"
"CUST-0023","Michael Lewis","Consumer","West","Lake Selena","Oregon","2024-08-21"
"CUST-0024","John Russell","Consumer","West","North Donnastad","Nevada","2024-01-23"
"CUST-0025","Amy Valdez","Corporate","East","North Richardmouth","Connecticut","2023-06-29"
"CUST-0026","Jerry Henderson","Consumer","West","Stevenland","New Hampshire","2025-06-13"
"CUST-0027","Annette Pearson","Consumer","South","North Sarabury","Hawaii","2024-01-17"
"CUST-0028","Dr. Steven Martin","Corporate","Central","South Josephmouth","Maine","2024-02-07"
"CUST-0029","Whitney Peters","Consumer","Central","Mooreport","Indiana","2026-01-05"
"CUST-0030","Kimberly Adkins","Consumer","East","North Breannahaven","North Dakota","2023-03-05"
"CUST-0031","Angela Lopez","Home Office","Central","Lake Michellefurt","Delaware","2025-12-01"
"CUST-0032","Lauren Williams","Corporate","Central","South Dianeshire","North Dakota","2023-09-24"
"CUST-0033","Michael Edwards","Corporate","Central","Randyport","New Jersey","2023-09-24"
"CUST-0034","Angel Ellis","Consumer","West","North Amandahaven","Kentucky","2023-02-01"
"CUST-0035","Benjamin Sanchez","Consumer","West","Ericside","Virginia","2023-09-06"
"CUST-0036","Dr. Kendra Contreras","Consumer","South","Sarahville","Florida","2023-07-19"
"CUST-0037","Natalie Moore","Home Office","East","Cassandramouth","Indiana","2025-01-10"
"CUST-0038","Kathy King","Corporate","East","North Cynthiaview","Arizona","2022-08-20"
"CUST-0039","Mandy Green","Home Office","East","Arnoldchester","Oklahoma","2022-08-28"
"CUST-0040","Stephen Mckee","Consumer","West","Port Mikeside","Georgia","2024-02-16"
"CUST-0041","Jacob Fitzpatrick","Corporate","West","West Jasonbury","Texas","2022-12-25"
"CUST-0042","Stacey Russell","Corporate","South","East Michelle","Idaho","2025-09-15"
"CUST-0043","Norman Cook","Consumer","West","Phambury","Louisiana","2023-03-07"
"CUST-0044","Janet Williams","Home Office","East","Walkermouth","Minnesota","2023-09-10"
"CUST-0045","Crystal Johnson","Consumer","West","South Mark","California","2026-01-02"
"CUST-0046","Martin Ross","Consumer","Central","Sheilaville","Kentucky","2023-04-01"
"CUST-0047","Deborah Rodriguez","Corporate","East","Reedmouth","Nevada","2024-09-28"
"CUST-0048","Janice Ray","Consumer","East","Bradleychester","Alabama","2024-06-10"
"CUST-0049","Melissa Bentley","Home Office","East","West Ryan","Texas","2025-11-04"
"CUST-0050","Mary Martinez","Home Office","South","Williamchester","Massachusetts","2024-01-12"
"CUST-0051","Cameron Fisher","Consumer","Central","Byrdburgh","South Carolina","2024-08-12"
"CUST-0052","Roy Torres","Corporate","East","South Kristi","Rhode Island","2024-11-29"
"CUST-0053","Jeremy Lewis","Consumer","Central","Leonburgh","Texas","2022-12-02"
"CUST-0054","Mackenzie Rogers","Consumer","East","Lake Lance","Illinois","2023-02-20"
"CUST-0055","William Carr","Consumer","South","South Robertshire","Illinois","2025-02-19"
"CUST-0056","James Hernandez","Home Office","West","Port Michelleville","Wyoming","2024-02-10"
"CUST-0057","Tyler Holmes","Consumer","West","New Johnville","New Jersey","2023-02-02"
"CUST-0058","Joseph Hansen","Home Office","South","Stephaniemouth","South Carolina","2025-06-22"
"CUST-0059","Jessica Meadows","Consumer","Central",NULL,"New Hampshire","2023-07-13"
"CUST-0060","Mark Cannon","Corporate","West","Simsview","New Hampshire","2022-11-23"
"CUST-0061","Devon Flores","Corporate","East","East Edwardfurt","Vermont","2023-02-27"
"CUST-0062","Jason Rivera","Corporate","East","Perryborough","Nebraska","2023-12-26"
"CUST-0063","Theresa Smith","Consumer","East","Woodsstad","Maryland","2025-04-04"
"CUST-0064","Tiffany Barnes","Consumer","South","South Jeffrey","Nevada","2024-04-27"
"CUST-0065","Michael Yates","Home Office","South","Port Tanner","Florida","2026-01-20"
"CUST-0066","Susan Vargas","Consumer","West","North Dawnberg","New Jersey","2023-04-05"
"CUST-0067","Garrett Gibson","Home Office","South","Kathleenfurt","Louisiana","2025-04-03"
"CUST-0068","Darlene Miller","Consumer","East",NULL,"Iowa","2024-11-23"
"CUST-0069","Marissa Webster","Consumer","Central","East Mary","South Carolina","2023-02-26"
"CUST-0070","Michael Elliott","Corporate","West","South Holly","Wyoming","2023-11-30"
"CUST-0071","Tracey Higgins","Consumer","East","West Daniel","Alaska","2025-11-15"
"CUST-0072","Susan Brooks","Consumer","South","North Brittany","South Dakota","2023-06-22"
"CUST-0073","Elizabeth Sutton","Consumer","West","Port Tonyaton","Minnesota","2024-06-26"
"CUST-0074","Andrea Holland","Consumer","Central","Port Robertfort","Connecticut","2024-02-21"
"CUST-0075","Steven Stevens","Consumer","East","South Gregory","North Dakota","2025-12-31"
"CUST-0076","Robert Medina","Home Office","Central","Marshallshire","Louisiana","2023-10-01"
"CUST-0077","Timothy Ramirez","Consumer","East","Sanchezmouth","Oregon","2024-10-04"
"CUST-0078","Allen Rosales","Consumer","West","South Jason","Kentucky","2023-10-24"
"CUST-0079","Meredith Hill","Consumer","Central","New Stacyland","Kansas","2025-02-21"
"CUST-0080","Peter Vaughn DDS","Consumer","West","Westtown","Colorado","2023-08-27"
"CUST-0081","David Beck","Consumer","Central","Thomashaven","Minnesota","2024-02-10"
"CUST-0082","Erin Warner","Consumer","South","Kristopherbury","Delaware","2025-02-22"
"CUST-0083","Patrick Tapia","Home Office","West","East Javier","New Mexico","2023-08-04"
"CUST-0084","Paige Carlson","Consumer","Central","Port Jamesbury","Mississippi","2023-04-02"
"CUST-0085","Joseph Hill","Consumer","West","New Kellyberg","South Dakota","2025-08-29"
"CUST-0086","Shane Andrews MD","Home Office","East","Petersonton","Kentucky","2025-11-30"
"CUST-0087","Rodney Morales","Consumer","Central","New Crystalton","Georgia","2023-02-22"
"CUST-0088","Elizabeth Mcknight","Corporate","West","New Kathybury","Wyoming","2024-06-13"
